valor|seccion|descripcion|fuente|anio|definicion|estado
51.813.798|1.2|Problemas del aparato locomotor registrados en la BDCAP|B4|2023|Registros de problemas de salud del capítulo L de la CIAP-2, no consultas ni personas|Pendiente de cotejo
30 %|1.2|Consultas de medicina general por problemas musculoesqueléticos según el documento de política inglés|D2|2006|Cifra de política sanitaria, «hasta el 30 %», sin medición propia|Pendiente de cotejo
17 %|1.2|Consultas de medicina general por problemas musculoesqueléticos|E5|2017|Estimación citada en el ensayo piloto STEMS|Verificada
545|1.2|Consultas revisadas en un centro urbano|E8|2018|Consultas de medicina general de un centro|Verificada
21,1 %|1.2|Proporción de consultas musculoesqueléticas en un centro urbano|E8|2018|Consultas con presentación musculoesquelética sobre el total revisado|Verificada
60.000|1.3|Trabajadores valorados por el INSS por patología osteomuscular|B8|2019|Valoraciones de incapacidad laboral|Pendiente de cotejo
31,6 %|1.3|Procesos de columna lumbar entre los valorados por patología osteomuscular|B8|2019|Porcentaje sobre los procesos osteomusculares valorados|Pendiente de cotejo
13,5 %|1.3|Procesos de hombro entre los valorados por patología osteomuscular|B8|2019|Porcentaje sobre los procesos osteomusculares valorados|Pendiente de cotejo
11,9 %|1.3|Procesos de rodilla entre los valorados por patología osteomuscular|B8|2019|Porcentaje sobre los procesos osteomusculares valorados|Pendiente de cotejo
8.417|1.5|Contactos en la evaluación de un servicio escocés de fisioterapia como alternativa al médico general|E11|2015 a 2017|Contactos de pacientes en dos años de servicio|Verificada
87,3 %|1.5|Contactos resueltos en atención primaria|E11|2015 a 2017|Porcentaje de contactos manejados sin salir de atención primaria|Verificada
60,4 %|1.5|Contactos resueltos solo con automanejo|E11|2015 a 2017|Porcentaje de contactos que solo necesitaron automanejo|Verificada
78,5 %|1.5 y 10.4|Personas sin reconsulta en doce semanas tras una cita de fisioterapia de primer contacto|E15|Publicado en 2025|Porcentaje de personas que no volvieron a consultar en atención primaria en doce semanas|Verificada
159.000|1.5|Personas atendidas por las unidades de fisioterapia de AP de Madrid|C14n|2024|Personas atendidas, cifra aproximada de la nota oficial|Pendiente de cotejo
77 %|1.5|Consecución de objetivos en las unidades de fisioterapia de AP de Madrid|G1|2024|Porcentaje aproximado de casos con objetivos alcanzados, según el documento de posición|Verificada como documento aportado
93 %|1.5|Reducción del dolor en las unidades de fisioterapia de AP de Madrid|G1|2024|Porcentaje aproximado de casos con reducción del dolor, según el documento de posición|Verificada como documento aportado
2.418|3.1 y 9.1|Fisioterapeutas de atención primaria en el SNS|B1|2024|Profesionales de fisioterapia de AP registrados en el informe monográfico|Pendiente de cotejo
84,8 %|3.1|Fisioterapeutas del SNS que trabajan en hospitales|B1|2024|Porcentaje sobre el total de fisioterapeutas del SNS|Pendiente de cotejo
