id;nombre;bloque;criterio_efqm;definicion;formula;numerador;denominador;fuente_datos;periodicidad;estandar;responsable
ID-1;Cartera autonómica de fisioterapia de atención primaria;Dirección;1. Propósito, visión y estrategia;Existencia de una cartera de servicios de fisioterapia de AP aprobada por el servicio de salud y ajustada a este modelo;Valor binario;Cartera aprobada: sí o no;No aplica;Normativa y documentos del servicio de salud;Anual;Cartera aprobada en todas las comunidades autónomas al cierre de la fase de implantación;Dirección de atención primaria de cada servicio de salud
ID-2;Protocolo de acceso directo;Dirección;1. Propósito, visión y estrategia;Existencia de un protocolo aprobado de autorreferencia con motivos de consulta parametrizados y criterios de exclusión;Valor binario;Protocolo aprobado: sí o no;No aplica;Normativa y documentos del servicio de salud;Anual;Protocolo aprobado al cierre de la fase de consolidación;Dirección de atención primaria de cada servicio de salud
ID-3;Circuito de continuidad con atención hospitalaria;Dirección;1. Propósito, visión y estrategia;Existencia de un circuito formalizado de derivación y retorno entre atención hospitalaria y fisioterapia de AP;Valor binario;Circuito formalizado: sí o no;No aplica;Documentos de gestión de las áreas sanitarias;Anual;Circuito formalizado en todas las áreas sanitarias al cierre de la fase de consolidación;Gerencias de área
ID-4;Tiempo protegido;Dirección;2. Cultura de la organización y liderazgo;Porcentaje de la jornada de fisioterapia de AP reservado a actividad comunitaria no clínica, docencia, investigación y coordinación;(Horas protegidas en agenda / horas de jornada) × 100;Horas protegidas registradas en agenda;Horas de jornada de fisioterapia de AP;Agenda electrónica;Anual;Igual o superior al valor de tiempo protegido del modelo de dotación;Dirección de atención primaria
IE-1;Cobertura de personal;Ejecución;5. Gestionar el funcionamiento y la transformación;Porcentaje de zonas básicas de salud con al menos un fisioterapeuta de AP asignado presencialmente en la zona;(Zonas básicas con fisioterapeuta asignado presencialmente / zonas básicas totales) × 100;Zonas básicas con fisioterapeuta asignado presencialmente;Zonas básicas de salud de la comunidad autónoma;SIAP;Anual;100 % al cierre de la fase de implantación;Dirección de atención primaria
IE-2;Infraestructura de consulta;Ejecución;5. Gestionar el funcionamiento y la transformación;Porcentaje de centros de salud que cuentan con un espacio físico propio para la consulta de fisioterapia;(Centros de salud con espacio propio / centros de salud totales) × 100;Centros de salud con espacio físico propio de fisioterapia;Centros de salud de la comunidad autónoma;Inventario de centros del servicio de salud;Anual;Línea basal en el primer año y estándar fijado por el grupo de trabajo del Consejo Interterritorial;Dirección de atención primaria
IE-3;Densidad de fisioterapeutas de AP;Ejecución;5. Gestionar el funcionamiento y la transformación;Fisioterapeutas de AP a tiempo completo equivalente por 10.000 habitantes;(Fisioterapeutas de AP equivalentes a tiempo completo / población) × 10.000;Fisioterapeutas de AP equivalentes a tiempo completo;Población con tarjeta sanitaria;SIAP;Anual;El que resulte del modelo de dotación de la sección 9 para la fase correspondiente;Dirección de atención primaria
IE-4;Agenda e historia clínica propias;Ejecución;5. Gestionar el funcionamiento y la transformación;Porcentaje de fisioterapeutas de AP con agenda propia y registro en la historia clínica compartida;(Fisioterapeutas con agenda propia y registro en historia compartida / fisioterapeutas de AP) × 100;Fisioterapeutas con agenda propia y registro en la historia clínica compartida;Fisioterapeutas de AP;Sistemas de información del servicio de salud;Anual;100 % al cierre de la fase de implantación;Dirección de sistemas de información
IE-5;Tiempo hasta la primera valoración;Ejecución;4. Crear valor sostenible;Mediana de días entre la solicitud o la derivación y la primera consulta de fisioterapia de AP;Mediana de los días transcurridos;Días entre solicitud y primera consulta de cada episodio;Episodios iniciados en el periodo;Agenda electrónica;Trimestral;Línea basal en el primer año y estándar fijado por el grupo de trabajo del Consejo Interterritorial;Dirección de atención primaria
IE-6;Distribución de la entrada por vía;Ejecución;3. Implicar a los grupos de interés;Porcentaje de episodios iniciados por cada vía de entrada;(Episodios iniciados por cada vía / episodios totales) × 100;Episodios iniciados por cada vía;Episodios iniciados en el periodo;Historia clínica;Semestral;Indicador descriptivo sin estándar;Dirección de atención primaria
IE-7;Derivación tras la primera consulta;Ejecución;4. Crear valor sostenible;Porcentaje de personas derivadas a otro profesional tras la primera consulta por signos de alarma o por complejidad;(Personas derivadas tras la primera consulta / personas con primera consulta) × 100;Personas derivadas tras la primera consulta, por motivo;Personas con primera consulta en el periodo;Historia clínica;Semestral;Indicador de seguridad sin estándar fijo, con revisión de cualquier variación brusca;Dirección de atención primaria
IE-8;Oferta de programas grupales;Ejecución;4. Crear valor sostenible;Ediciones de programas grupales realizadas por 10.000 habitantes y año;Ediciones realizadas / población × 10.000;Ediciones realizadas de cada programa del anexo A;Población con tarjeta sanitaria;Agenda electrónica;Anual;Las ediciones del escenario central del anexo A;Dirección de atención primaria
IE-9;Atención domiciliaria;Ejecución;4. Crear valor sostenible;Personas atendidas por fisioterapia de AP en el domicilio por 1.000 habitantes de 65 años o más;Personas atendidas en domicilio / población de 65 años o más × 1.000;Personas atendidas en domicilio;Población de 65 años o más;Historia clínica;Anual;Línea basal en el primer año;Dirección de atención primaria
IR-1;Cambio en la intensidad del dolor;Resultados;7. Rendimiento estratégico y operativo;Diferencia media en la escala numérica del dolor de 0 a 10 entre la primera consulta y el alta;Media de (valor inicial menos valor al alta);Suma de diferencias individuales;Episodios con ambos registros;Historia clínica;Anual;Línea basal en el primer año;Unidad de calidad del servicio de salud
IR-2;Cambio en la función;Resultados;7. Rendimiento estratégico y operativo;Diferencia media en un instrumento de función validado en castellano, elegido por el grupo de trabajo, entre la primera consulta y el alta;Media de (valor al alta menos valor inicial);Suma de diferencias individuales;Episodios con ambos registros;Historia clínica;Anual;Línea basal en el primer año;Unidad de calidad del servicio de salud
