id;simbolo;nombre;unidad;bajo;central;alto;tipo;fuentes;justificacion
P;P;Personas adultas que consultan en atención primaria por un problema musculoesquelético al año;personas por 10.000 habitantes;1500;2000;2500;supuesto;E7;Jordan y colaboradores registraron 591 personas por 10.000 que consultaron por la espalda, 324 por la rodilla y 556 por problemas de más de una región. El parámetro extiende esas cifras al conjunto de regiones. Debe sustituirse por el dato de la BDCAP cuando se extraiga
F1;F1;Fracción de esas personas que accede a fisioterapia de atención primaria por cualquier vía;proporción;0.25;0.35;0.50;supuesto;;No existe dato español publicado. El rango refleja un despliegue progresivo del acceso directo y de la derivación protocolizada
F2;F2;Fracción de las personas valoradas que necesita tratamiento individual tras la primera consulta;proporción;0.30;0.40;0.50;supuesto;E11;En la evaluación de Downie y colaboradores, el 60,4 % de los contactos se resolvió solo con automanejo tras la primera consulta
V;V;Consultas individuales de seguimiento por episodio tratado;consultas;3;4;6;supuesto;;No existe dato español publicado sobre consultas por episodio en fisioterapia de atención primaria
t;t;Duración media de cada consulta individual;horas;0.33;0.5;0.75;supuesto;E14;Las consultas de primer contacto del Reino Unido duran veinte minutos en la encuesta de Halls y colaboradores. El valor central incorpora el tiempo de registro y de coordinación
S65;S65;Proporción de población de 65 años o más;proporción;0.18;0.20;0.22;supuesto;B9;Valor redondeado del padrón continuo. El rango refleja la variación entre zonas básicas y se sustituye por el dato local en los ajustes territoriales
D;D;Proporción de personas de 65 años o más que necesita fisioterapia domiciliaria al año;proporción;0.02;0.03;0.05;supuesto;E43;La prevalencia de fragilidad en población comunitaria europea es del 12 %. Solo una parte de esa población necesita atención en el domicilio
Vd;Vd;Visitas domiciliarias por persona y año;visitas;4;6;8;supuesto;;Sin dato publicado. Se ajusta localmente
td;td;Duración media de cada visita domiciliaria, con desplazamiento;horas;1.0;1.25;1.5;supuesto;;Sin dato publicado. El desplazamiento aumenta en zonas rurales y dispersas
J;J;Jornada anual de un fisioterapeuta a tiempo completo;horas;1642;1600;1519;supuesto;;Rango de la jornada ordinaria entre 35 y 37,5 horas semanales según el servicio de salud. El orden de bajo a alto sigue la necesidad: una jornada menor exige más dotación
Tp;Tp;Fracción de la jornada reservada como tiempo protegido no asistencial;proporción;0.15;0.20;0.25;diseño;;Tiempo para programas comunitarios no clínicos, docencia, investigación y coordinación, que la sección 5.1 exige proteger
